time,BulkRi_hub,L_6p64m,L_24m
2024-06-20 19:30:00,0.22119,94.201,53.625
2024-06-20 19:40:00,0.24827,94.201,53.625
2024-06-20 19:50:00,0.22307,107.82,54.53
2024-06-20 20:00:00,0.37592,107.82,54.53
2024-06-20 20:10:00,0.50196,130.26,46.593
2024-06-20 20:20:00,0.30778,130.26,46.593
2024-06-20 20:30:00,0.90657,69.309,44.132
2024-06-20 20:40:00,2.3083,69.309,44.132
2024-06-20 20:50:00,0.54962,100.85,55.333
2024-06-20 21:00:00,0.36384,105.51,76.287
2024-06-20 21:10:00,0.27386,105.51,76.287
2024-06-20 21:20:00,0.20508,104.89,66.407
2024-06-20 21:30:00,0.21685,104.89,66.407
2024-06-20 21:40:00,0.25203,109.2,68.975
2024-06-20 21:50:00,0.24827,109.2,68.975
2024-06-20 22:00:00,0.27572,121.37,55.848
2024-06-20 22:10:00,0.45766,121.37,55.848
2024-06-20 22:20:00,0.63256,92.303,57.393
2024-06-20 22:30:00,0.48308,92.303,57.393
2024-06-20 22:40:00,0.33356,92.303,57.393
2024-06-20 22:50:00,0.25521,104.02,53.899
2024-06-20 23:00:00,0.20137,104.02,53.899
2024-06-20 23:10:00,0.18652,115.87,60.597
2024-06-20 23:20:00,0.19634,115.87,60.597
2024-06-20 23:30:00,0.19624,103.96,61.227
2024-06-20 23:40:00,0.20566,103.96,61.227
2024-06-20 23:50:00,0.39034,111.69,56.217
2024-06-21 00:00:00,0.36851,85.053,72.278
2024-06-21 00:10:00,0.36536,85.053,72.278
2024-06-21 00:20:00,0.25531,82.502,57.518
2024-06-21 00:30:00,0.20115,82.502,57.518
2024-06-21 00:40:00,0.19379,91.91,56.017
2024-06-21 00:50:00,0.1958,91.91,56.017
2024-06-21 01:00:00,0.20181,89.886,59.608
2024-06-21 01:10:00,0.21052,89.886,59.608
2024-06-21 01:20:00,0.19673,97.816,49.679
2024-06-21 01:30:00,0.18278,97.816,49.679
2024-06-21 01:40:00,0.18402,97.816,49.679
2024-06-21 01:50:00,0.17026,76.975,47.544
2024-06-21 02:00:00,0.18599,76.975,47.544
2024-06-21 02:10:00,0.22524,78.098,78.694
2024-06-21 02:20:00,0.17028,78.098,78.694
2024-06-21 02:30:00,0.17555,67.608,55.088
2024-06-21 02:40:00,0.16746,67.608,55.088
2024-06-21 02:50:00,0.20362,46.211,84.878
2024-06-21 03:00:00,0.2456,38.429,44.046
2024-06-21 03:10:00,0.2296,38.429,44.046
2024-06-21 03:20:00,0.1814,401.36,293.4
2024-06-21 03:30:00,0.19913,401.36,293.4
2024-06-21 03:40:00,0.22405,28.263,161.17
2024-06-21 03:50:00,0.31215,28.263,161.17
2024-06-21 04:00:00,0.24261,18.584,55.047
2024-06-21 04:10:00,0.32698,18.584,55.047
2024-06-21 04:20:00,0.24749,34.664,39.009
2024-06-21 04:30:00,0.19481,34.664,39.009
2024-06-21 04:40:00,0.36512,34.664,39.009
2024-06-21 04:50:00,0.26567,112.08,-162.95
2024-06-21 05:00:00,0.34635,112.08,-162.95
2024-06-21 05:10:00,4.6131,41.276,23.41
2024-06-21 05:20:00,0.23352,41.276,23.41
2024-06-21 05:30:00,0.20939,55.06,59.754
2024-06-21 10:50:00,0.34305,25.395,22.852
2024-06-21 11:10:00,0.3408,28.014,24.048
2024-06-21 11:20:00,0.37191,28.014,24.048
2024-06-21 11:30:00,0.4296,43.5,27.267
2024-06-21 11:40:00,0.44545,43.5,27.267
2024-06-21 11:50:00,0.46066,31.818,25.387
2024-06-21 12:00:00,0.41159,53.242,27.426
2024-06-21 12:10:00,0.5692,53.242,27.426
2024-06-21 12:20:00,0.63531,52.526,29.409
2024-06-21 12:30:00,0.55529,52.526,29.409
2024-06-21 12:40:00,0.63669,96.913,45.124
2024-06-21 12:50:00,0.74506,96.913,45.124
2024-06-21 13:00:00,0.74798,62.522,41.669
2024-06-21 13:10:00,0.5086,62.522,41.669
2024-06-21 13:20:00,0.63331,54.553,53.675
2024-06-21 13:30:00,0.5212,54.553,53.675
2024-06-21 13:40:00,0.49379,54.553,53.675
2024-06-21 13:50:00,0.50612,55.878,37.269
2024-06-21 14:00:00,0.46375,55.878,37.269
2024-06-21 14:10:00,0.45771,42.482,49.247
2024-06-21 14:20:00,0.42776,42.482,49.247
2024-06-21 14:30:00,0.37863,47.902,46.897
2024-06-21 14:40:00,0.36718,47.902,46.897
2024-06-21 14:50:00,0.31765,48.023,59.197
2024-06-21 15:00:00,0.47514,40.33,60.848
2024-06-21 15:10:00,0.41355,40.33,60.848
2024-06-21 15:20:00,0.46255,58.601,41.558
